positionOpenDate,positionTitle,appointmentType,maximumSalary,workSchedule,salaryType,state,clean_positionTitle,skill_set_0,skill_set_1,skill_set_2,year_month
2020-07-22,BUDGET ANALYST,Permanent,70843.0,Full-time,Per Year,North Carolina,budget,0.18167499532353473,0.6513691327009549,0.16695587197551043,2020-07
2013-09-11,Attorney and Assistant United States Attorney,Multiple,129517.0,Full-time,Per Year,District of Columbia,attorney united states attorney,0.8660578307853815,0.06697405875534844,0.0669681104592702,2013-09
2020-02-14,SENIOR INFORMATION TECHNOLOGY SPECIALIST (DATA NETWORK),Permanent,115742.0,Full-time,Per Year,District of Columbia,information technology data network,0.0667688034956562,0.06703651725359284,0.866194679250751,2020-02
2020-02-14,SENIOR INFORMATION TECHNOLOGY SPECIALIST (DATA NETWORK),Permanent,115742.0,Full-time,Per Year,District of Columbia,information technology data network,0.0667688034956562,0.06703651725359284,0.866194679250751,2020-02
2018-02-15,Rating Veterans Service Representative,Agency Employees Only,0.0,Full-time,Per Year,Mississippi,rating veterans service representative,0.06686387478283246,0.2677355393965617,0.6654005858206059,2018-02
2024-04-15,Rating Veterans Service Representative,Permanent,0.0,Full-time,Per Year,Mississippi,rating veterans service representative,0.06686387478283246,0.2677355393965617,0.6654005858206059,2024-04
2017-06-14,"DIAGNOSTIC RADIOLOGIC TECHNOLOGIST GS 0647-08, CBOC, HOT SPRINGS, ARKANSAS",Permanent,56441.0,Full-time,Per Year,Arkansas,diagnostic radiologic technologist cboc hot springs arkansas,0.04511182205608546,0.041931356797634496,0.91295682114628,2017-06
2022-05-16,HR SPECIALIST (Recruitment and Placement),Permanent,84146.0,Full-time,Per Year,New York,recruitment placement,0.7760311908979027,0.11199310966852873,0.11197569943356848,2022-05
2027-05-26,LPN,Multiple,52109.0,Full-time,Per Year,New York,lpn,0.1673154342887609,0.16939640994354502,0.6632881557676941,2027-05
2020-06-15,LPN - Employee Health Nurse,Permanent,50597.0,Full-time,Per Year,Illinois,lpn employee health nurse,0.07623762697122094,0.721813457529386,0.20194891549939312,2020-06
2022-07-17,Intern (Human Resource Specialist) - Test,Internships,59000.0,Full-time,Per Year,District of Columbia,intern human resource,0.08347009544266189,0.8330511594095923,0.0834787451477458,2022-07
2020-07-13,Management & Program Analyst ,Permanent,151254.0,Full-time,Per Year,District of Columbia,management,0.17420889284498384,0.6590287816573406,0.16676232549767558,2020-07
2022-08-31,RN (Critical Care),Agency Employees Only,100420.0,Full-time,Per Year,Oregon,critical care,0.11124357603594691,0.11125708157558377,0.7774993423884693,2022-08
2022-08-31,RN (Critical Care),Agency Employees Only,100420.0,Part-time,Per Year,Oregon,critical care,0.11124357603594691,0.11125708157558377,0.7774993423884693,2022-08
2022-09-07,Registered Nurse (Palliative Care),Permanent,138686.0,Full-time,Per Year,New York,registered nurse palliative care,0.07244045486317562,0.4290518409001007,0.49850770423672375,2022-09
2017-12-01,Training Systems Program Manager,Permanent,106369.0,Full-time,Per Year,Florida,training systems,0.1112496987289255,0.74705092043504,0.14169938083603448,2017-12
2018-10-02,Claims Assistant,Agency Employees Only,47837.0,Full-time,Per Year,Oregon,claims,0.16703392435411799,0.16706461603593603,0.6659014596099461,2018-10
2022-10-07,"MEDICAL OFFICER, GS-0602-15",Permanent,155000.0,Full-time,Per Year,Maryland,medical,0.6665815283638364,0.16670786865482837,0.1667106029813352,2022-10
2021-11-03,Program Support Assistant-TEST ANNOUNCEMENT,Permanent,45376.0,Full-time,Per Year,New York,support,0.17323246836464024,0.16675970462468687,0.660007827010673,2021-11
2022-11-11,Senior Social Worker (Bonham Domiciliary),Permanent,94551.0,Full-time,Per Year,Texas,social worker bonham domiciliary,0.06705076864759812,0.31432598745830287,0.6186232438940992,2022-11
2020-01-01,PATHWAYS-TEST VACANCY,Internships,33000.0,Full-time,Per Year,California,vacancy,0.6638354360376603,0.16809666895120964,0.16806789501113012,2020-01
2022-12-04,Physician (Psychiatrist- NW Metro Out-patient Clinic),Permanent,250000.0,Full-time,Per Year,Minnesota,physician psychiatrist metro patient clinic,0.8746559092396249,0.056585915392696105,0.06875817536767895,2022-12
2017-01-04,Staff Physician (MICU Hospitalist),Permanent,240000.0,Full-time,Per Year,Pennsylvania,physician micu hospitalist,0.8283429353961009,0.08356954828278865,0.08808751632111042,2017-01
2017-12-15,Supervisory Interdisciplinary Scientist ,Permanent,155500.0,Full-time,Per Year,Maryland,supervisory interdisciplinary scientist,0.8266470153339448,0.08340228500140358,0.08995069966465155,2017-12
2023-01-01,TEST TEST TEST - SANDI KIER FOR JOA TEMPLATES,Permanent,100.0,Full-time,Per Year,California,sandi kier joa templates,0.06710587977211355,0.06714281829084563,0.8657513019370409,2023-01
2024-01-08,"Laboratory Support Techician (OA), GS-0303-05",Permanent,45898.0,Full-time,Per Year,New York,laboratory support techician,0.08458764921213804,0.0836426595816061,0.8317696912062559,2024-01
2020-01-01,SUPERVISORY NURSE PRACTITIONER,Permanent,124123.0,Full-time,Per Year,California,supervisory nurse practitioner,0.8280544108640127,0.08785246580667787,0.08409312332930947,2020-01
2020-01-01,SUPERVISORY CONTRACT SPECIALIST,Permanent,78355.0,Full-time,Per Year,,supervisory,0.6665735053951254,0.1667152379265428,0.16671125667833175,2020-01
2022-04-19,TEMPLATE - RN,Permanent,102221.0,Full-time,Per Year,Colorado,template,0.1679025868524545,0.16800891557411926,0.6640884975734263,2022-04
2017-01-15,Staff Physician (Hospitalist-Acute Medicine),Permanent,264000.0,Multiple Schedules,Per Year,Pennsylvania,physician hospitalist acute medicine,0.8375190521058318,0.06680100083194251,0.09567994706222582,2017-01
2023-02-01,Lock and Dam Operator (Trainee),Permanent,24.51,Full-time,Per Hour,Tennessee,lock dam operator trainee,0.0693120776005465,0.06954174039428491,0.8611461820051686,2023-02
2020-10-05,TEST ANNOUNCEMENT (Auditor),Permanent,96689.0,Full-time,Per Year,District of Columbia,auditor,0.16685668074647633,0.6662888732723646,0.16685444598115892,2020-10
2017-12-05,Regulatory Health Project Manager ,Permanent,136771.0,Full-time,Per Year,Maryland,regulatory health project,0.8216913782075159,0.09473022320977346,0.08357839858271053,2017-12
2017-12-15,Regulatory Information Specialist,Permanent,115742.0,Full-time,Per Year,Maryland,regulatory information,0.4329186620350378,0.1116344384964725,0.4554468994684896,2017-12
2023-02-01,Program Support Assistant,Permanent,48190.0,Full-time,Per Year,California,support,0.17323246836464024,0.16675970462468687,0.660007827010673,2023-02
